Method,Tour Length,Improvement %
2-opt,719.8606868111461,71.67789543464136
Nearest Neighbor,766.5742079356177,69.84000477865327
Ant Colony,979.2370277293759,61.47302665397763
Genetic Algorithm,1208.8546001970572,52.43898296104902
RL Agent,2541.6920735884246,0.0
